file_path,language,category,origin,evidence,action,compile_status,notes
calcrhoel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcrhoelcomp.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcrhofa.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcumel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcumfa.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcvel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcvol.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
calcvol2.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cd_Mcgreehan_Schotsch.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cd_lichtarowicz.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cd_own_albers.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cd_pk_albers.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cident.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cident20.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
cident80.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
closefile.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
closefilefluid.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
convert2slapcol.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
correctrhoelcomp.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
correctvel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
createialnk.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
dKdX.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
damage.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
damagecal.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
damages.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
dattime.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
drx.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
drx_hip_weicme.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
drx_weicme.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
dynamicrecrystallizations.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
edg.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
elemperorien.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
eplane.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
fcrit.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
flowstress.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
fsub.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
fsuper.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
gasmechbc.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
getversion.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
htchart.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
init.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
initialh.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
inputerror.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
inputinfo.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
inputwarning.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
insertsortd.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
insertsorti.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
integratelinesproduct.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
integraterhocp.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
intersectionpoint.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
invariant.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
lab_straight_ppkrit.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
lump.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
materialdata_dtdh.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
materialdata_h2temp.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
materialdata_temp2h.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
materialdata_th_h.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
materialdata_th_h2.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
matvec.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
meannode.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
metal_powder.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
metalpowders.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
modf.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
msolve.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
msolve_struct.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
multvec.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
negativepressure.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nident.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nident2.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nidentk.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nidentll.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
norm.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nystar2flcr.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
nystarflcrchart.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
op.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
op_corio.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
opas.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
openfilefluid.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
phaseother.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
phasetransition.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
phasetransition1.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
phys2con_cast.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
pk_cdc_cl3.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
pk_cdi_r.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
pk_cdi_rl.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
pk_cdi_se.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
pop.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
postprocess_cast.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
posttransition.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
preconvert2slapcol.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
predir.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
preparenycalc.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
push.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
randomval.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
ratedependentplastics.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
rdplas.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
readphaseinf.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
reorderampl.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
reorderlhs.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
reorderrhs.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
sensitivity_glob.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
smoothshock.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
stop.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
templiquidussolidus.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
thermmodel.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
time2solidus.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
transformation.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
triloc.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
uamplitude.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
uexpan.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
uhard.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
uhardening.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
velsolve.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writeboun.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writebv.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writedesi.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writeevcomplex.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writehe.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writeim.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writemac.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writemaccs.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writempc.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writerandomfield.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writere.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writesta.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writestadiv.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
writevfa.f,Fortran,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file; compare against original for change points
drxc.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
getSystemCPUs.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
itinerate_print.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
output_mtx.c,C,B,"CalculiX-derived, modified",Overrides same-named object in WeICME_MT.a; AESim_FM custom version,Group into libaesim_solver_ext.a,compiled,Modified CalculiX file
